"","ensembl_gene_id","external_gene_name","transcript_biotype"
"295","ENSG00000280585","KRTAP5-1","protein_coding"
"296","ENSG00000278620","KRTAP5-4","protein_coding"
"297","ENSG00000262121","KRTAP4-9","protein_coding"
"298","ENSG00000263160","TMEM50B","protein_coding"
"299","ENSG00000263091","KRTAP2-4","protein_coding"
"300","ENSG00000277033","B3GNTL1","protein_coding"
"301","ENSG00000278302","KRTAP5-5","protein_coding"
"302","ENSG00000263309","KRT23","protein_coding"
"303","ENSG00000275037","KIR3DS1","protein_coding"
"304","ENSG00000278165","DUSP8","protein_coding"
"305","ENSG00000281216","KIF26B","protein_coding"
"306","ENSG00000281618","IFITM10","protein_coding"
"307","ENSG00000277982","KIR3DL2","protein_coding"
"308","ENSG00000281191","KRTAP5-3","protein_coding"
"309","ENSG00000281533","KRTAP5-2","protein_coding"
"310","ENSG00000275456","KIR2DL4","protein_coding"
"311","ENSG00000277175","KIR3DL1","protein_coding"
"312","ENSG00000262845","KRT40","protein_coding"
"313","ENSG00000268674","","protein_coding"
"314","ENSG00000277475","","protein_coding"
"315","ENSG00000263141","PAXBP1","protein_coding"
"316","ENSG00000278633","","protein_coding"
"317","ENSG00000262808","KRTAP1-1","protein_coding"
"318","ENSG00000262731","","protein_coding"
"319","ENSG00000262938","C21orf62","protein_coding"
"320","ENSG00000263229","KRTAP4-11","protein_coding"
"321","ENSG00000262347","KRTAP1-3","protein_coding"
"322","ENSG00000262520","KRTAP4-16","protein_coding"
"323","ENSG00000263243","KRT12","protein_coding"
"324","ENSG00000281758","KCNIP4","protein_coding"
"325","ENSG00000275008","KIR2DL3","protein_coding"
"326","ENSG00000261862","KRTAP1-5","protein_coding"
"327","ENSG00000275599","KIR2DS3","protein_coding"
"328","ENSG00000262164","KRT39","protein_coding"
"329","ENSG00000274283","KIR3DS1","protein_coding"
"330","ENSG00000276731","KIR2DL2","protein_coding"
"331","ENSG00000261852","KRTAP2-1","protein_coding"
"332","ENSG00000277848","MEGF11","protein_coding"
"333","ENSG00000263101","KRTAP3-3","protein_coding"
"334","ENSG00000262862","KRTAP2-3","protein_coding"
"335","ENSG00000276177","KIR2DL5A","protein_coding"
"336","ENSG00000263236","KRTAP4-12","protein_coding"
"337","ENSG00000263242","KRTAP1-4","protein_coding"
"338","ENSG00000266286","","protein_coding"
"339","ENSG00000274394","KIR3DL3","protein_coding"
"340","ENSG00000261968","KRTAP4-8","protein_coding"
"341","ENSG00000276016","ABR","protein_coding"
"342","ENSG00000277251","KIR2DL2","protein_coding"
"343","ENSG00000275522","KIR2DL1","protein_coding"
"344","ENSG00000274763","KIR3DL3","protein_coding"
"345","ENSG00000277429","SERF1B","protein_coding"
"346","ENSG00000278304","KIR2DS1","protein_coding"
"347","ENSG00000276686","KIR2DL5A","protein_coding"
"348","ENSG00000275873","LMNTD2","protein_coding"
"349","ENSG00000278201","KIR2DL4","protein_coding"
"350","ENSG00000276896","GOLGA8F","protein_coding"
"351","ENSG00000275623","KIR2DL3","protein_coding"
"352","ENSG00000276068","NAIP","protein_coding"
"353","ENSG00000277365","NDUFA6","protein_coding"
